0	0	383
0	30.35	369
1	0.62	358
1	30.48	351.5
2	0.77	349
2	30.85	351
3	0.74	357
3	31.08	366
4	0.45	376.5
4	30.77	388
5	0.26	400
5	30.1	410
6	1.59	419
6	30.27	424.5
7	0.56	427
7	30.3	425.5
8	1.32	421
8	30.7	414
9	0.28	406
9	31.64	397
10	0.42	388
10	30.28	379
11	0.24	372
11	30.46	368
12	0.38	366
12	30.27	368
13	0.31	371
13	30.56	377
14	0.34	384
14	30.43	391
15	0.46	399
15	30.31	406
16	0.36	411
16	30.3	415
17	0.25	415.5
17	30.45	414.5
18	0.31	412
18	30.31	407
19	0.38	401
19	30.43	395
20	0.4	389
20	30.18	383
21	0.31	379
21	30.17	376
22	0.46	375
22	32.49	377
23	0.3	379
23	30.34	382
24	0.41	387
24	30.2	392
25	0.36	397
25	30.71	401
26	0.34	405
26	30.45	407
27	0.92	407.5
27	30.24	407
28	0.42	405
28	30.36	401.5
29	0.35	398
29	30.46	394
30	0.43	389.5
30	30.32	386
31	0.68	383
31	30.27	381
32	0.4	381
32	30.34	381
33	0.31	383
